condition_id,car_id,entry_date,entry_type,description,cost,reported_by,is_repaired,repair_date,notes,created_at,updated_at
1,1,2024-12-23,Maintenance,Suspension Repair,2650.29,Employee,True,2024-12-24,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
2,1,2024-10-03,Damage,No Damage,0.0,Employee,False,,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
3,1,2023-09-04,Maintenance,Engine Repair,2906.08,Employee,True,2023-09-06,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
4,1,2025-01-11,Maintenance,Engine Repair,2918.03,Employee,True,2025-01-20,Warranty repair,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
5,1,2023-06-19,Maintenance,Tire Replacement,1083.64,System,True,2023-06-25,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
6,2,2024-06-02,Maintenance,Suspension Repair,2201.55,Customer,True,2024-06-16,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
7,2,2025-09-23,Damage,Bumper Damage,1721.1,Employee,False,,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
8,2,2025-03-13,Damage,Dent,412.21,System,True,2025-03-24,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
9,2,2024-05-25,Maintenance,Suspension Repair,2803.96,Customer,True,2024-05-29,Major repair required,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
10,2,2023-09-22,Maintenance,Tire Replacement,1127.2,Employee,True,2023-09-24,Regular check,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
11,2,2023-04-13,Maintenance,Battery Replacement,310.19,Employee,True,2023-04-20,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
12,2,2023-02-15,Maintenance,Tire Replacement,813.08,Employee,True,2023-02-28,Minor issue,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
13,2,2024-10-21,Maintenance,Battery Replacement,529.34,Employee,True,2024-11-03,,2026-02-07 13:31:35.831867,2026-02-07 13:31:35.831867
