car_id,brand,model,year,color,license_plate,vin,current_location_id,purchase_date,purchase_price,daily_rental_price,fuel_type,transmission,seats,status,mileage,created_at,updated_at
1,Renault,Kaptur,2021,Red,NE4598BY,VIN18061510918598201,4,2018-06-13,55398.96,500.0,Diesel,Automatic,4,Maintenance,28869,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
2,Audi,Q3,2021,Black,MR3287BE,VIN90901673634470169,9,2020-12-19,130387.33,500.0,Diesel,Manual,5,Rented,19131,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
3,BMW,X3,2018,Black,NE3621BY,VIN19155309468533556,7,2021-10-15,147789.11,500.0,Hybrid,Manual,7,Available,90166,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
4,Lada,Granta,2023,Red,MR2827BY,VIN32792933745673882,8,2018-12-24,33847.88,500.0,Diesel,Automatic,7,Available,115100,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
5,Audi,A6,2024,Black,MR3646BE,VIN56715812095225524,8,2018-02-12,131947.47,500.0,Diesel,Automatic,4,Rented,116082,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
6,Mercedes,C-Class,2018,Blue,AB3103BY,VIN89235051096943820,3,2020-09-28,114276.3,500.0,Hybrid,Manual,4,Rented,94447,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
7,Ford,EcoSport,2023,Blue,MR2982BE,VIN19227102545363919,6,2018-10-18,54748.17,500.0,Petrol,Automatic,4,Available,93778,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
8,Audi,A3,2019,Silver,AB9423BE,VIN40874778219061223,9,2019-12-19,77359.01,500.0,Hybrid,Manual,4,Reserved,106840,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
9,Hyundai,Elantra,2018,Gray,MR8651BE,VIN18735203693554158,7,2023-06-26,41453.96,500.0,Petrol,Automatic,4,Rented,71292,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
10,Kia,Ceed,2021,White,MR2604BE,VIN33967954341420480,7,2021-08-07,42752.32,500.0,Diesel,Automatic,4,Reserved,1282,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
11,Hyundai,Tucson,2024,Red,NE8973BE,VIN52760102509094284,4,2018-10-24,75702.59,500.0,Hybrid,Automatic,7,Maintenance,8492,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
12,Volkswagen,Jetta,2021,Black,AB9320BE,VIN36780202783839696,2,2022-02-22,47542.76,500.0,Petrol,Manual,4,Rented,76880,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
13,Mercedes,C-Class,2022,Blue,NE6183BY,VIN55278669296916621,4,2020-07-05,88279.34,500.0,Hybrid,Manual,5,Maintenance,99548,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
14,Chery,Tiggo 7 Pro,2018,White,AB9808BE,VIN48219408606341324,3,2020-02-08,51874.28,500.0,Diesel,Manual,4,Reserved,110280,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
15,BMW,X1,2022,Blue,AB5905BE,VIN48113553246381839,2,2018-12-18,129354.13,500.0,Petrol,Manual,5,Rented,95058,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
16,Toyota,Camry,2023,Gray,MR1832BE,VIN71043702887380771,14,2020-01-01,85855.95,500.0,Diesel,Automatic,7,Maintenance,22178,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
17,Lada,XRAY,2022,White,AB3442BE,VIN63209631860196587,10,2022-03-14,45585.01,500.0,Petrol,Automatic,5,Maintenance,118831,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
18,Chery,Tiggo 7 Pro,2020,White,MR7658BE,VIN13572091711135855,3,2023-06-26,48151.15,500.0,Diesel,Automatic,5,Rented,104202,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
19,Lada,Granta,2021,Black,AB8541BY,VIN42126669884207802,1,2023-04-13,33721.67,500.0,Diesel,Manual,4,Maintenance,47025,2026-02-07 13:31:35.596808,2026-02-07 13:31:35.596808
