condition_id,car_id,entry_date,entry_type,description,cost,reported_by,is_repaired,repair_date,notes
1,1,2024-12-23,Maintenance,Suspension Repair,2650.29,Employee,true,2024-12-24,Major repair required
2,1,2024-10-03,Damage,No Damage,0.0,Employee,false,,Minor issue
3,1,2023-09-04,Maintenance,Engine Repair,2906.08,Employee,true,2023-09-06,Major repair required
4,1,2025-01-11,Maintenance,Engine Repair,2918.03,Employee,true,2025-01-20,Warranty repair
5,1,2023-06-19,Maintenance,Tire Replacement,1083.64,System,true,2023-06-25,Minor issue
6,2,2024-06-02,Maintenance,Suspension Repair,2201.55,Customer,true,2024-06-16,Major repair required
7,2,2025-09-23,Damage,Bumper Damage,1721.1,Employee,false,,Major repair required
8,2,2025-03-13,Damage,Dent,412.21,System,true,2025-03-24,Regular check
9,2,2024-05-25,Maintenance,Suspension Repair,2803.96,Customer,true,2024-05-29,Major repair required
10,2,2023-09-22,Maintenance,Tire Replacement,1127.2,Employee,true,2023-09-24,Regular check
11,2,2023-04-13,Maintenance,Battery Replacement,310.19,Employee,true,2023-04-20,
12,2,2023-02-15,Maintenance,Tire Replacement,813.08,Employee,true,2023-02-28,Minor issue
13,2,2024-10-21,Maintenance,Battery Replacement,529.34,Employee,true,2024-11-03,
14,3,2024-04-24,Damage,Headlight Broken,437.23,Employee,true,2024-05-07,
15,3,2025-04-22,Damage,Broken Window,743.06,Employee,true,2025-04-23,Warranty repair
16,3,2023-04-22,Maintenance,Transmission Service,3429.59,Employee,true,2023-04-23,Minor issue
17,3,2025-01-23,Damage,Scratch,56.0,System,true,2025-01-31,Major repair required
18,3,2025-02-23,Maintenance,Oil Change,148.65,Employee,true,2025-02-25,Warranty repair
19,3,2024-03-12,Maintenance,Battery Replacement,331.7,Customer,true,2024-03-23,Minor issue
20,4,2023-04-18,Damage,No Damage,0.0,Customer,true,2023-04-25,Warranty repair
21,5,2024-01-01,Maintenance,Tire Replacement,1118.47,Customer,true,2024-01-02,Major repair required
22,5,2024-02-14,Damage,Headlight Broken,546.63,Customer,true,2024-02-24,
23,5,2025-04-15,Maintenance,Brake Service,713.86,Customer,true,2025-04-19,
24,5,2025-07-26,Maintenance,Regular Maintenance,491.06,Employee,true,2025-08-06,
25,5,2025-03-01,Maintenance,Suspension Repair,1735.74,System,true,2025-03-15,Minor issue
26,5,2025-06-02,Maintenance,Engine Repair,2593.65,Customer,true,2025-06-05,Major repair required
27,5,2025-10-19,Maintenance,Regular Maintenance,432.62,Employee,true,2025-10-27,
28,5,2025-10-07,Damage,Interior Stain,195.54,Customer,false,,Warranty repair
29,6,2025-11-11,Maintenance,Suspension Repair,1792.17,Customer,true,2025-11-21,Minor issue
30,6,2024-09-12,Damage,Headlight Broken,1476.69,Employee,true,2024-09-13,Warranty repair
31,6,2025-09-04,Maintenance,Oil Change,193.23,System,true,2025-09-13,
