payment_id,rental_id,payment_date,payment_method,amount,payment_type,status
1,1,2023-08-12,Cash,2973.43,Deposit,Completed
2,2,2023-01-26,Bank Transfer,1101.45,Deposit,Completed
3,2,2023-01-26,Bank Transfer,-646.81,Rental,Completed
4,3,2023-10-17,Cash,560.12,Deposit,Pending
5,4,2023-09-06,Bank Transfer,211.95,Deposit,Completed
6,4,2023-09-06,Credit Card,417.64,Rental,Pending
7,5,2023-07-21,Cash,517.04,Deposit,Completed
8,6,2023-03-03,Debit Card,1795.21,Deposit,Refunded
9,6,2023-03-05,Debit Card,188.84,Rental,Pending
10,6,2023-03-01,Bank Transfer,319.66,Rental,Refunded
11,7,2025-12-09,Cash,1617.67,Deposit,Refunded
12,8,2024-07-10,Debit Card,1878.59,Deposit,Failed
13,8,2024-07-05,Cash,218.41,Rental,Failed
14,8,2024-07-08,Debit Card,253.77,Rental,Pending
15,9,2025-01-08,Cash,1510.25,Deposit,Pending
16,9,2025-01-06,Bank Transfer,466.22,Rental,Failed
17,10,2024-10-05,Credit Card,886.05,Deposit,Refunded
18,10,2024-10-05,Debit Card,211.62,Rental,Failed
19,10,2024-10-04,Bank Transfer,76.71,Rental,Refunded
20,12,2023-02-08,Debit Card,1441.79,Deposit,Failed
21,13,2024-04-27,Debit Card,2366.7,Deposit,Completed
22,14,2025-10-06,Debit Card,1850.82,Deposit,Refunded
23,14,2025-10-06,Credit Card,1431.45,Rental,Completed
24,16,2023-11-30,Bank Transfer,1446.48,Deposit,Failed
25,17,2023-07-30,Credit Card,870.21,Deposit,Completed
26,17,2023-07-28,Bank Transfer,986.44,Rental,Pending
27,18,2025-07-10,Credit Card,6844.92,Deposit,Failed
28,19,2025-12-30,Credit Card,1002.44,Deposit,Pending
29,20,2025-02-21,Debit Card,420.69,Deposit,Failed
30,20,2025-02-22,Bank Transfer,478.99,Rental,Completed
31,20,2025-02-21,Cash,261.29,Rental,Pending
32,21,2024-12-10,Cash,764.92,Deposit,Refunded
33,21,2024-12-13,Debit Card,368.86,Rental,Failed
34,22,2024-10-22,Bank Transfer,256.39,Deposit,Completed
35,22,2024-10-24,Credit Card,51.73,Rental,Refunded
36,22,2024-10-23,Bank Transfer,93.55,Rental,Refunded
37,23,2025-03-13,Debit Card,1645.71,Deposit,Completed
38,23,2025-03-10,Cash,3138.9,Rental,Failed
39,24,2023-12-10,Debit Card,1882.9,Deposit,Failed
40,24,2023-12-07,Credit Card,1090.33,Rental,Pending
41,24,2023-12-06,Bank Transfer,798.5,Rental,Failed
42,25,2024-01-20,Credit Card,895.61,Deposit,Pending
43,25,2024-01-19,Debit Card,501.91,Rental,Failed
44,25,2024-01-20,Credit Card,304.22,Rental,Failed
45,26,2025-08-16,Debit Card,221.29,Rental,Completed
46,26,2025-08-19,Cash,160.28,Rental,Completed
47,26,2025-08-17,Debit Card,328.09,Rental,Failed
48,27,2024-08-09,Cash,703.99,Deposit,Completed
49,27,2024-08-09,Credit Card,605.51,Rental,Refunded
50,28,2023-04-10,Debit Card,1016.44,Deposit,Completed
51,28,2023-04-08,Debit Card,2189.24,Rental,Completed
52,29,2023-06-20,Credit Card,1599.53,Deposit,Failed
53,29,2023-06-19,Bank Transfer,1251.19,Rental,Pending
54,30,2023-02-22,Credit Card,253.51,Rental,Refunded
55,30,2023-02-22,Bank Transfer,370.75,Rental,Failed
56,31,2024-07-07,Cash,4576.93,Deposit,Refunded
57,31,2024-07-10,Cash,1166.28,Rental,Pending
58,31,2024-07-09,Cash,474.84,Rental,Completed
59,32,2024-11-17,Cash,6898.9,Deposit,Refunded
60,32,2024-11-13,Cash,3503.24,Rental,Failed
61,33,2024-08-13,Debit Card,1873.88,Deposit,Failed
62,34,2023-11-28,Bank Transfer,3671.54,Deposit,Failed
63,35,2024-11-27,Debit Card,838.54,Deposit,Failed
64,36,2025-03-13,Cash,3571.35,Deposit,Pending
65,36,2025-03-10,Debit Card,5007.64,Rental,Pending
66,37,2025-10-15,Bank Transfer,816.58,Deposit,Pending
67,37,2025-10-17,Cash,157.28,Rental,Failed
68,37,2025-10-18,Bank Transfer,77.35,Rental,Completed
69,38,2023-10-21,Credit Card,2516.05,Deposit,Refunded
70,38,2023-10-21,Cash,1233.29,Rental,Refunded
71,39,2023-02-28,Debit Card,1176.98,Deposit,Refunded
72,39,2023-03-05,Cash,816.34,Rental,Failed
73,39,2023-02-28,Cash,1750.73,Rental,Failed
74,40,2023-03-12,Cash,2164.49,Deposit,Failed
75,40,2023-03-12,Debit Card,875.25,Rental,Completed
76,40,2023-03-15,Cash,1461.83,Rental,Refunded
