rental_id,car_id,customer_id,employee_id,tariff_id,pickup_location_id,return_location_id,rental_date,scheduled_return_date,actual_return_date,rental_days,km_driven,additional_km,base_cost,additional_km_cost,total_cost,deposit_amount,deposit_returned,status,notes
1,111,4750,16,2,3,13,2023-08-10,2023-09-08,2023-09-11,29,8675,0,2510.24,0.0,2510.24,463.19,368.43,Completed,
2,62,2279,59,4,1,4,2023-01-26,2023-01-29,2023-01-28,3,900,0,529.86,0.0,529.86,1218.4,1104.93,Cancelled,
3,70,7238,34,2,10,10,2023-10-16,2023-10-17,2023-10-18,1,256,0,86.56,0.0,86.56,473.56,415.92,Active,Late return
4,53,7425,27,1,2,6,2023-09-04,2023-09-17,2023-09-17,13,2251,0,455.13,0.0,455.13,174.46,147.15,Cancelled,
5,13,6352,6,1,11,14,2023-07-20,2023-07-28,2023-07-30,8,1698,98,280.08,68.6,348.68,168.36,139.95,Active,Minor scratch
6,68,3896,65,5,15,7,2023-03-01,2023-03-02,2023-03-05,1,211,0,303.2,0.0,303.2,2000.51,1976.67,Cancelled,
7,21,3446,65,3,8,8,2025-12-06,2025-12-14,2025-12-13,8,1223,0,892.24,0.0,892.24,725.43,673.38,Completed,Car dirty
8,21,6938,33,2,8,13,2024-07-05,2024-07-28,2024-07-29,23,4125,0,1990.88,0.0,1990.88,359.89,327.01,Cancelled,Early return
9,30,3315,20,1,15,3,2025-01-06,2025-01-24,2025-01-26,18,5221,1621,630.18,1134.7,1764.88,211.59,189.61,Cancelled,No issues
10,29,6409,63,1,8,9,2024-10-03,2024-11-01,2024-11-01,29,4645,0,1015.29,0.0,1015.29,159.09,149.03,Active,Early return
11,9,132,35,1,15,12,2023-05-07,2023-06-03,2023-06-02,27,3694,0,945.27,0.0,-945.27,164.22,138.33,No-show,No issues
12,83,178,78,2,7,8,2023-02-04,2023-02-16,2023-02-19,12,1505,0,1038.72,0.0,1038.72,403.07,271.84,No-show,Car dirty
13,50,3330,3,4,12,12,2024-04-27,2024-05-05,2024-05-03,8,1689,0,1412.96,0.0,1412.96,953.74,753.07,No-show,Late return
14,70,7429,33,5,3,1,2025-10-06,2025-10-12,2025-10-15,6,972,0,1819.2,0.0,1819.2,1463.07,1283.81,No-show,Car dirty
15,120,1717,33,3,11,8,2024-03-19,2024-04-08,2024-04-09,20,220,0,2230.6,0.0,-2230.6,505.79,415.37,No-show,Car dirty
16,62,366,38,1,5,9,2023-11-26,2023-12-12,2023-12-11,16,4196,996,560.16,697.2,1257.36,189.12,161.19,Completed,Minor scratch
17,42,2480,62,2,5,12,2023-07-27,2023-08-12,2023-08-11,16,1418,0,1384.96,0.0,1384.96,471.69,250.27,Active,No issues
18,3,7293,6,5,14,11,2025-07-06,2025-07-24,2025-07-27,18,615,0,5457.6,0.0,5457.6,1387.32,1067.25,Cancelled,Car dirty
19,93,1097,21,1,11,3,2025-12-28,2026-01-20,2026-01-18,23,2213,0,805.23,0.0,805.23,197.21,163.37,No-show,Minor scratch
20,94,662,29,3,11,6,2025-02-21,2025-02-27,2025-02-28,6,81,0,669.18,0.0,669.18,491.79,408.01,Completed,No issues
21,118,5996,18,1,14,11,2024-12-08,2025-01-04,2025-01-06,27,5278,0,945.27,0.0,945.27,188.51,106.04,Completed,Early return
22,53,7688,57,1,4,15,2024-10-19,2024-10-25,2024-10-24,6,578,0,210.06,0.0,210.06,191.61,189.52,Active,Car dirty
23,88,4493,1,5,12,8,2025-03-08,2025-03-19,2025-03-19,11,2976,0,3335.2,0.0,3335.2,1449.41,1310.8,Completed,
24,103,4190,59,3,3,1,2023-12-06,2024-01-04,2024-01-04,29,924,0,3234.37,0.0,3234.37,537.36,532.26,No-show,Early return
25,95,728,40,3,1,4,2024-01-18,2024-01-28,2024-01-31,10,579,0,1115.3,0.0,1115.3,586.44,558.37,Completed,No issues
26,76,2129,63,2,10,7,2025-08-14,2025-08-17,2025-08-18,3,242,0,259.68,0.0,259.68,449.98,390.56,Cancelled,
27,63,3706,6,2,3,10,2024-08-04,2024-08-14,2024-08-16,10,347,0,865.6,0.0,865.6,443.9,313.06,Completed,No issues
28,110,3934,15,4,6,1,2023-04-07,2023-04-19,2023-04-17,12,1685,0,2119.44,0.0,2119.44,1086.24,993.29,Active,No issues
29,98,6763,70,2,11,3,2023-06-15,2023-07-14,2023-07-16,29,4114,0,2510.24,0.0,2510.24,340.48,177.35,Cancelled,Car dirty
30,94,243,48,2,8,1,2023-02-20,2023-02-23,2023-02-22,3,545,0,259.68,0.0,259.68,364.58,314.32,Active,Car dirty
31,97,2952,12,4,9,4,2024-07-05,2024-08-02,2024-08-03,28,988,0,4945.36,0.0,4945.36,1272.69,1081.5,Completed,Car dirty
